GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
AsConvertMvn-1.0-SNAPSHOT,com.mycompany.asconvertmvn.model,Item,56,0,0,0,21,0,11,0,11,0
AsConvertMvn-1.0-SNAPSHOT,com.mycompany.asconvertmvn.model,Product.ProductBuilder,83,0,0,0,1,0,11,0,11,0
AsConvertMvn-1.0-SNAPSHOT,com.mycompany.asconvertmvn.model,Account,56,0,0,0,21,0,11,0,11,0
AsConvertMvn-1.0-SNAPSHOT,com.mycompany.asconvertmvn.model,Order,44,0,0,0,17,0,9,0,9,0
AsConvertMvn-1.0-SNAPSHOT,com.mycompany.asconvertmvn.model,OrderDetail,46,0,0,0,20,0,10,0,10,0
AsConvertMvn-1.0-SNAPSHOT,com.mycompany.asconvertmvn.model,Product,153,0,4,0,44,0,24,0,22,0
AsConvertMvn-1.0-SNAPSHOT,com.mycompany.asconvertmvn.model,Category,32,0,0,0,13,0,7,0,7,0
AsConvertMvn-1.0-SNAPSHOT,com.mycompany.asconvertmvn.model,Customer,6,113,0,0,1,41,1,18,1,18
AsConvertMvn-1.0-SNAPSHOT,com.mycompany.asconvertmvn.model,Cart,265,0,26,0,70,0,30,0,17,0
AsConvertMvn-1.0-SNAPSHOT,com.mycompany.asconvertmvn.resources,JakartaEE10Resource,7,0,0,0,4,0,2,0,2,0
AsConvertMvn-1.0-SNAPSHOT,com.mycompany.asconvertmvn,JakartaRestConfiguration,3,0,0,0,1,0,1,0,1,0
AsConvertMvn-1.0-SNAPSHOT,com.mycompany.asconvertmvn.dal,OrderDAO,680,0,56,0,222,0,41,0,13,0
AsConvertMvn-1.0-SNAPSHOT,com.mycompany.asconvertmvn.dal,CartDAO,662,0,44,0,223,0,38,0,16,0
AsConvertMvn-1.0-SNAPSHOT,com.mycompany.asconvertmvn.dal,DBContext,3,19,0,0,2,8,0,1,0,1
AsConvertMvn-1.0-SNAPSHOT,com.mycompany.asconvertmvn.dal,CustomerDAO,414,261,30,10,132,80,25,7,5,7
AsConvertMvn-1.0-SNAPSHOT,com.mycompany.asconvertmvn.dal,ProductDAO,1169,0,73,0,349,0,51,0,13,0
AsConvertMvn-1.0-SNAPSHOT,com.mycompany.asconvertmvn.dal,AccountDAO,503,0,32,0,167,0,28,0,12,0
AsConvertMvn-1.0-SNAPSHOT,com.mycompany.asconvertmvn.dal,CategoryDAO,26,0,0,0,9,0,2,0,2,0
AsConvertMvn-1.0-SNAPSHOT,com.mycompany.asconvertmvn.filter,HomeFilter,205,0,16,0,75,0,20,0,12,0
AsConvertMvn-1.0-SNAPSHOT,com.mycompany.asconvertmvn.filter,LoginFilter,205,0,16,0,75,0,20,0,12,0
